2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
        Crematory operators,39-4012,Line item,3,3.1,0.1,3.9,,0.4,"$40,360 ",High school diploma or equivalent,None,Short-term on-the-job training
      Funeral attendants,39-4021,Line item,33.2,34.2,0.9,2.8,,4.9,"$31,160 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Morticians, undertakers, and funeral arrangers",39-4031,Line item,24.5,25.4,0.9,3.7,1.3,3,"$51,570 ",Associate's degree,None,Long-term on-the-job training
    Personal appearance workers,39-5000,Summary,913.6,987.1,73.4,8,42.5,130.2,"$33,270 ",,,
"      Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,618.9,666.1,47.2,7.6,49.4,89.4,"$33,400 ",,,
        Barbers,39-5011,Line item,63.1,67.6,4.4,7,79,7.3,"$34,990 ",Postsecondary nondegree award,None,None
"        Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,555.8,598.6,42.8,7.7,46,82,"$33,290 ",Postsecondary nondegree award,None,None
      Miscellaneous personal appearance workers,39-5090,Summary,294.7,321,26.2,8.9,28,40.8,"$33,000 ",,,
"        Makeup artists, theatrical and performance",39-5091,Line item,4.6,4.9,0.4,8.6,32.9,0.8,"$96,370 ",Postsecondary nondegree award,None,None
        Manicurists and pedicurists,39-5092,Line item,196.9,214,17.1,8.7,29.4,25.5,"$31,130 ",Postsecondary nondegree award,None,None
        Shampooers,39-5093,Line item,11.3,12.6,1.3,11.2,33.4,2.1,"$27,860 ",No formal educational credential,None,Short-term on-the-job training
        Skincare specialists,39-5094,Line item,82,89.4,7.5,9.1,23.5,12.4,"$38,060 ",Postsecondary nondegree award,None,None
"    Baggage porters, bellhops, and concierges",39-6000,Summary,66.4,70.3,3.9,5.9,,11.1,"$33,870 ",,,
      Baggage porters and bellhops,39-6011,Line item,27.7,29.4,1.7,6.3,,4.7,"$31,510 ",High school diploma or equivalent,None,Short-term on-the-job training
      Concierges,39-6012,Line item,38.7,40.9,2.2,5.6,,6.5,"$35,560 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Tour and travel guides,39-7000,Summary,53.6,58,4.3,8.1,17.4,12.2,"$34,440 ",,,
      Tour and travel guides,39-7010,Line item,53.6,58,4.3,8.1,17.4,12.2,"$34,440 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Other personal care and service workers,39-9000,Summary,"1,747.40","1,811.10",63.6,3.6,18,320.3,"$31,570 ",,,
      Childcare workers,39-9011,Line item,945.9,927.4,-18.5,-2,24.4,153.1,"$28,520 ",High school diploma or equivalent,None,Short-term on-the-job training
      Recreation and fitness workers,39-9030,Summary,618.8,677.4,58.5,9.5,10.4,130.7,"$35,170 ",,,
        Exercise trainers and group fitness instructors,39-9031,Line item,329.5,374.6,45.2,13.7,19.3,69,"$45,380 ",High school diploma or equivalent,None,Short-term on-the-job training
        Recreation workers,39-9032,Line item,289.4,302.7,13.4,4.6,0.3,61.7,"$31,680 ",High school diploma or equivalent,None,Short-term on-the-job training
      Residential advisors,39-9041,Line item,95.7,101.4,5.7,6,2.2,17.6,"$35,720 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Personal care and service workers, all other",39-9099,Line item,87,104.9,17.9,20.5,20.2,18.9,"$34,670 ",High school diploma or equivalent,None,Short-term on-the-job training
  Sales and related occupations,41-0000,Summary,"14,476.40","14,102.00",-374.5,-2.6,7.8,"1,806.90","$35,290 ",,,
    Supervisors of sales workers,41-1000,Summary,"1,770.20","1,668.20",-102,-5.8,24.1,152,"$47,800 ",,,
      First-line supervisors of retail sales workers,41-1011,Line item,"1,405.80","1,311.80",-94,-6.7,21.7,123.7,"$45,250 ",High school diploma or equivalent,Less than 5 years,None
      First-line supervisors of non-retail sales workers,41-1012,Line item,364.4,356.4,-8,-2.2,33.1,28.2,"$82,850 ",High school diploma or equivalent,Less than 5 years,None
    Retail sales workers,41-2000,Summary,"7,777.80","7,362.30",-415.4,-5.3,2,"1,189.90","$29,660 ",,,
      Cashiers,41-2010,Summary,"3,365.20","3,016.00",-349.2,-10.4,0.5,581.2,"$28,250 ",,,
        Cashiers,41-2011,Line item,"3,345.80","2,997.70",-348.1,-10.4,0.5,577.6,"$28,240 ",No formal educational credential,None,Short-term on-the-job training
        Gambling change persons and booth cashiers,41-2012,Line item,19.4,18.3,-1.1,-5.6,,3.5,"$30,010 ",No formal educational credential,None,Short-term on-the-job training
      Counter and rental clerks and parts salespersons,41-2020,Summary,646.9,659.9,12.9,2,0.9,77.1,"$35,820 ",,,
        Counter and rental clerks,41-2021,Line item,380.8,391.2,10.4,2.7,0.8,45.7,"$35,830 ",No formal educational credential,None,Short-term on-the-job training
        Parts salespersons,41-2022,Line item,266.1,268.7,2.6,1,1,31.4,"$35,800 ",No formal educational credential,None,Moderate-term on-the-job training
      Retail salespersons,41-2031,Line item,"3,765.60","3,686.40",-79.1,-2.1,3.6,531.7,"$30,600 ",No formal educational credential,None,Short-term on-the-job training
"    Sales representatives, services",41-3000,Summary,"2,309.80","2,428.00",118.1,5.1,5.1,218.1,"$61,180 ",,,
      Advertising sales agents,41-3011,Line item,111.4,103.4,-8,-7.2,3.6,10.5,"$58,450 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Insurance sales agents,41-3021,Line item,536.8,579.3,42.5,7.9,11.1,48.3,"$57,860 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Securities, commodities, and financial services sales agents",41-3031,Line item,482.2,517.7,35.6,7.4,5.9,40.1,"$67,480 ",Bachelor's degree,None,Moderate-term on-the-job training
      Travel agents,41-3041,Line item,66.3,68.6,2.3,3.5,17.8,8.6,"$46,400 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,"1,113.20","1,158.90",45.7,4.1,1.3,110.6,"$62,400 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"    Sales representatives, wholesale and manufacturing",41-4000,Summary,"1,649.90","1,670.40",20.5,1.2,2.7,148,"$67,750 ",,,
"      Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,305.6,317.1,11.4,3.7,2.7,28.5,"$97,710 ",Bachelor's degree,None,Moderate-term on-the-job training
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,"1,344.30","1,353.40",9.1,0.7,2.7,119.5,"$63,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
    Other sales and related workers,41-9000,Summary,968.7,973,4.3,0.4,39.4,99,"$45,970 ",,,
"      Models, demonstrators, and product promoters",41-9010,Summary,47.1,48.9,1.8,3.8,2.2,8.9,"$34,840 ",,,
        Demonstrators and product promoters,41-9011,Line item,45,46.8,1.8,4,2.3,8.5,"$34,770 ",No formal educational credential,None,Short-term on-the-job training
        Models,41-9012,Line item,2.2,2.2,0,0.5,,0.4,"$43,130 ",No formal educational credential,None,None
      Real estate brokers and sales agents,41-9020,Summary,589.8,609.2,19.4,3.3,57.5,51.6,"$52,030 ",,,
        Real estate brokers,41-9021,Line item,127.2,131.6,4.4,3.5,58,11.2,"$62,190 ",High school diploma or equivalent,Less than 5 years,None
        Real estate sales agents,41-9022,Line item,462.6,477.6,14.9,3.2,57.3,40.5,"$49,980 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Sales engineers,41-9031,Line item,60.9,63.8,2.9,4.7,0.5,5.9,"$108,530 ",Bachelor's degree,None,Moderate-term on-the-job training
      Telemarketers,41-9041,Line item,97.7,77.6,-20.1,-20.6,0.9,9.8,"$31,030 ",No formal educational credential,None,Short-term on-the-job training
      Miscellaneous sales and related workers,41-9090,Summary,173.2,173.5,0.3,0.2,23.3,22.8,"$42,220 ",,,
"        Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,36.4,30.6,-5.8,-15.9,76.1,4,"$31,100 ",No formal educational credential,None,Short-term on-the-job training
"        Sales and related workers, all other",41-9099,Line item,136.8,142.9,6.1,4.5,9.2,18.8,"$44,120 ",High school diploma or equivalent,None,None
  Office and administrative support occupations,43-0000,Summary,"19,891.40","18,663.80","-1,227.60",-6.2,1.9,"2,059.80","$40,910 ",,,
    Supervisors of office and administrative support workers,43-1000,Summary,"1,567.20","1,486.40",-80.7,-5.2,0.8,137.7,"$61,370 ",,,
      First-line supervisors of office and administrative support workers,43-1011,Line item,"1,567.20","1,486.40",-80.7,-5.2,0.8,137.7,"$61,370 ",High school diploma or equivalent,Less than 5 years,None
    Communications equipment operators,43-2000,Summary,54.3,41.1,-13.1,-24.2,0.9,3.6,"$35,020 ",,,
"      Switchboard operators, including answering service",43-2011,Line item,48.4,36.2,-12.1,-25.1,,2.9,"$34,670 ",High school diploma or equivalent,None,Short-term on-the-job training
      Telephone operators,43-2021,Line item,4.1,3,-1.1,-26.6,,0.4,"$38,330 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Communications equipment operators, all other",43-2099,Line item,1.8,1.9,0.1,5.9,26.4,0.3,"$46,180 ",High school diploma or equivalent,None,Short-term on-the-job training
    Financial clerks,43-3000,Summary,"3,052.50","2,839.00",-213.5,-7,2.7,302.2,"$43,680 ",,,
      Bill and account collectors,43-3011,Line item,209.7,189.6,-20.1,-9.6,2.3,19.2,"$39,470 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Billing and posting clerks,43-3021,Line item,456.3,456.4,0.1,0,0.7,46.7,"$42,810 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Bookkeeping, accounting, and auditing clerks",43-3031,Line item,"1,735.80","1,627.50",-108.3,-6.2,4.1,183.9,"$45,860 ","Some college, no degree",None,Moderate-term on-the-job training
      Gambling cage workers,43-3041,Line item,12.2,11.5,-0.7,-5.4,0.8,1.1,"$31,720 ",High school diploma or equivalent,None,Short-term on-the-job training
      Payroll and timekeeping clerks,43-3051,Line item,165.4,138.3,-27.2,-16.4,0.8,12.5,"$49,630 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Procurement clerks,43-3061,Line item,65.3,60.4,-4.9,-7.6,,5.4,"$45,240 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Tellers,43-3071,Line item,364.1,311.1,-52.9,-14.5,0,29,"$36,380 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Financial clerks, all other",43-3099,Line item,43.7,44.2,0.5,1.1,1.5,4.5,"$47,130 ",High school diploma or equivalent,None,Short-term on-the-job training
    Information and record clerks,43-4000,Summary,"5,871.00","5,639.30",-231.7,-3.9,1,712.4,"$37,440 ",,,
      Brokerage clerks,43-4011,Line item,43.7,39.8,-3.9,-8.9,0.6,4.3,"$54,680 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Correspondence clerks,43-4021,Line item,6,5.6,-0.4,-5.9,12.5,0.6,"$38,700 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Court, municipal, and license clerks",43-4031,Line item,170.6,175.7,5.1,3,2.6,17.7,"$44,140 ",High school diploma or equivalent,None,Long-term on-the-job training
"      Credit authorizers, checkers, and clerks",43-4041,Line item,16.4,15.5,-1,-5.8,,1.2,"$44,830 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Customer service representatives,43-4051,Line item,"2,982.90","2,820.20",-162.7,-5.5,0.6,373.4,"$37,780 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Eligibility interviewers, government programs",43-4061,Line item,157.5,161,3.5,2.2,,14.1,"$49,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      File clerks,43-4071,Line item,91.1,76.5,-14.6,-16,0.8,8.8,"$37,290 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Hotel, motel, and resort desk clerks",43-4081,Line item,257.7,251.1,-6.6,-2.6,0.4,39.8,"$28,910 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Interviewers, except eligibility and loan",43-4111,Line item,175.4,157.6,-17.7,-10.1,0.3,18.2,"$38,700 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Library assistants, clerical",43-4121,Line item,82.9,78.2,-4.8,-5.8,0.8,13.5,"$31,150 ",High school diploma or equivalent,None,Short-term on-the-job training
      Loan interviewers and clerks,43-4131,Line item,247.1,244.6,-2.5,-1,0.8,20,"$46,490 ",High school diploma or equivalent,None,Short-term on-the-job training
      New accounts clerks,43-4141,Line item,46.6,39.8,-6.7,-14.4,,3.2,"$40,820 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Order clerks,43-4151,Line item,132.8,108.6,-24.2,-18.2,13.7,11.2,"$38,060 ","Some college, no degree",None,Short-term on-the-job training
"      Human resources assistants, except payroll and timekeeping",43-4161,Line item,107.6,102.4,-5.2,-4.9,0.6,11.1,"$45,930 ",Associate's degree,None,None
      Receptionists and information clerks,43-4171,Line item,"1,068.80","1,072.70",3.9,0.4,1.3,142.6,"$33,960 ",High school diploma or equivalent,None,Short-term on-the-job training
      Reservation and transportation ticket agents and travel clerks,43-4181,Line item,123,124.6,1.6,1.3,0.5,13.8,"$39,160 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Information and record clerks, all other",43-4199,Line item,161.1,165.4,4.3,2.7,0.2,18.9,"$44,720 ",High school diploma or equivalent,None,Short-term on-the-job training
"    Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,"2,467.90","2,382.90",-84.9,-3.4,5.9,226,"$44,580 ",,,
      Cargo and freight agents,43-5011,Line item,95.9,105.2,9.3,9.7,0.8,11,"$46,860 ",High school diploma or equivalent,None,Short-term on-the-job training
      Couriers and messengers,43-5021,Line item,217.1,220.6,3.5,1.6,63.9,23.7,"$35,280 ",High school diploma or equivalent,None,Short-term on-the-job training
      Dispatchers,43-5030,Summary,314.3,315.4,1.1,0.3,1,30.1,"$45,550 ",,,
        Public safety telecommunicators,43-5031,Line item,99.5,102.9,3.4,3.4,,10.4,"$46,900 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Dispatchers, except police, fire, and ambulance",43-5032,Line item,214.8,212.5,-2.3,-1.1,1.5,19.7,"$44,830 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Meter readers, utilities",43-5041,Line item,21.1,18.5,-2.6,-12.2,,1.4,"$44,760 ",High school diploma or equivalent,None,Short-term on-the-job training
      Postal service workers,43-5050,Summary,504.3,465.3,-39,-7.7,,34.4,"$53,680 ",,,
        Postal service clerks,43-5051,Line item,74.8,69.8,-5,-6.7,,5.6,"$56,200 ",No formal educational credential,None,Short-term on-the-job training
        Postal service mail carriers,43-5052,Line item,314.5,293.5,-21,-6.7,,20.6,"$54,250 ",No formal educational credential,None,Short-term on-the-job training
"        Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,115,102.1,-13,-11.3,,8.2,"$49,130 ",No formal educational credential,None,Short-term on-the-job training
"      Production, planning, and expediting clerks",43-5061,Line item,396.8,413.3,16.5,4.2,0.1,42.7,"$50,630 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Shipping, receiving, and inventory clerks",43-5071,Line item,862.9,790.6,-72.2,-8.4,0.4,76.1,"$37,760 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,55.6,54,-1.6,-2.8,,6.5,"$39,950 ",High school diploma or equivalent,None,Short-term on-the-job training
    Secretaries and administrative assistants,43-6000,Summary,"3,399.20","3,066.60",-332.6,-9.8,1.1,316,"$44,080 ",,,
      Executive secretaries and executive administrative assistants,43-6011,Line item,511.1,403,-108.1,-21.1,0.4,35.6,"$65,980 ",High school diploma or equivalent,Less than 5 years,None
      Legal secretaries and administrative assistants,43-6012,Line item,161.4,126.2,-35.3,-21.8,0.2,12.7,"$48,780 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Medical secretaries and administrative assistants,43-6013,Line item,696.6,743.2,46.6,6.7,,79.3,"$38,500 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,"2,030.20","1,794.30",-235.9,-11.6,1.7,188.4,"$41,000 ",High school diploma or equivalent,None,Short-term on-the-job training
    Other office and administrative support workers,43-9000,Summary,"3,479.40","3,208.40",-271,-7.8,1.3,362,"$38,290 ",,,
      Data entry and information processing workers,43-9020,Summary,209.6,149.5,-60.1,-28.7,1.9,15.3,"$37,270 ",,,
        Data entry keyers,43-9021,Line item,165.6,122.5,-43.1,-26,2,12.3,"$36,190 ",High school diploma or equivalent,None,Short-term on-the-job training
        Word processors and typists,43-9022,Line item,44,27,-17,-38.6,1.8,3,"$44,330 ",High school diploma or equivalent,None,Short-term on-the-job training
      Desktop publishers,43-9031,Line item,8.5,7.4,-1.1,-13.5,17.3,0.7,"$47,910 ",Associate's degree,None,Short-term on-the-job training
      Insurance claims and policy processing clerks,43-9041,Line item,259,250.8,-8.2,-3.2,0.4,22.1,"$46,080 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Mail clerks and mail machine operators, except postal service",43-9051,Line item,72.8,69.4,-3.4,-4.7,1.7,8.9,"$35,070 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Office clerks, general",43-9061,Line item,"2,668.20","2,492.80",-175.4,-6.6,0.5,290.1,"$38,040 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Office machine operators, except computer",43-9071,Line item,31.6,27.1,-4.5,-14.2,,3.5,"$36,710 ",High school diploma or equivalent,None,Short-term on-the-job training
      Proofreaders and copy markers,43-9081,Line item,7.2,6.9,-0.3,-3.9,18.7,0.9,"$45,410 ",Bachelor's degree,None,None
      Statistical assistants,43-9111,Line item,7.4,7.2,-0.1,-1.7,,0.6,"$48,880 ",Bachelor's degree,None,None
"      Office and administrative support workers, all other",43-9199,Line item,215.1,197.3,-17.8,-8.3,9.9,19.8,"$38,660 ",High school diploma or equivalent,None,Short-term on-the-job training
"  Farming, fishing, and forestry occupations",45-0000,Summary,996.4,977.2,-19.2,-1.9,6.7,142,"$33,970 ",,,
"    Supervisors of farming, fishing, and forestry workers",45-1000,Summary,56.6,58.1,1.5,2.7,8.9,7.7,"$54,490 ",,,
"      First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,56.6,58.1,1.5,2.7,8.9,7.7,"$54,490 ",High school diploma or equivalent,Less than 5 years,None
    Agricultural workers,45-2000,Summary,848.8,831.6,-17.2,-2,4.3,122,"$33,410 ",,,
      Agricultural inspectors,45-2011,Line item,14.1,14.4,0.3,2,1.4,2.3,"$44,720 ",Bachelor's degree,None,Moderate-term on-the-job training
      Animal breeders,45-2021,Line item,6.5,6.6,0.1,2.1,2,1,"$45,320 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Graders and sorters, agricultural products",45-2041,Line item,30.1,28.5,-1.5,-5.1,,4.1,"$32,550 ",No formal educational credential,None,Short-term on-the-job training
      Miscellaneous agricultural workers,45-2090,Summary,798.1,782,-16.1,-2,4.5,114.7,"$33,290 ",,,
        Agricultural equipment operators,45-2091,Line item,64,69.5,5.5,8.6,4.6,10.4,"$37,780 ",No formal educational credential,None,Moderate-term on-the-job training
"        Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,523.5,512.2,-11.3,-2.2,5.6,75.1,"$33,000 ",No formal educational credential,None,Short-term on-the-job training
"        Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,199.4,188.9,-10.5,-5.3,1.6,27.5,"$34,150 ",No formal educational credential,None,Short-term on-the-job training
"        Agricultural workers, all other",45-2099,Line item,11.2,11.4,0.2,1.8,4.5,1.7,"$35,720 ",No formal educational credential,None,Short-term on-the-job training
    Fishing and hunting workers,45-3000,Summary,27.3,27.2,-0.1,-0.4,36.3,3.5,,,,
      Fishing and hunting workers,45-3031,Line item,27.3,27.2,-0.1,-0.4,36.3,3.5,,No formal educational credential,None,Moderate-term on-the-job training
"    Forest, conservation, and logging workers",45-4000,Summary,63.6,60.2,-3.4,-5.3,24.5,8.9,"$45,050 ",,,
      Forest and conservation workers,45-4011,Line item,11.3,10.3,-1,-8.7,9.2,1.8,"$32,270 ",High school diploma or equivalent,None,Moderate-term on-the-job training
      Logging workers,45-4020,Summary,52.3,49.9,-2.4,-4.6,27.8,7.1,"$46,580 ",,,
        Fallers,45-4021,Line item,6.5,5.9,-0.6,-9.4,27.6,0.8,"$49,160 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Logging equipment operators,45-4022,Line item,35.3,34,-1.3,-3.8,27.8,4.8,"$46,400 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Log graders and scalers,45-4023,Line item,5.6,5.5,-0.1,-1.6,27.8,0.8,"$42,370 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"        Logging workers, all other",45-4029,Line item,4.9,4.6,-0.3,-7,28.2,0.6,"$47,110 ",High school diploma or equivalent,None,Moderate-term on-the-job training
  Construction and extraction occupations,47-0000,Summary,"7,335.50","7,520.60",185.1,2.5,16.1,646.1,"$50,570 ",,,
    Supervisors of construction and extraction workers,47-1000,Summary,809.9,830.3,20.4,2.5,10,66.6,"$74,080 ",,,
      First-line supervisors of construction trades and extraction workers,47-1011,Line item,809.9,830.3,20.4,2.5,10,66.6,"$74,080 ",High school diploma or equivalent,5 years or more,None
    Construction trades workers,47-2000,Summary,"5,629.00","5,786.10",157.1,2.8,19,488.1,"$49,330 ",,,
      Boilermakers,47-2011,Line item,13.7,13.1,-0.5,-4,,1.1,"$66,920 ",High school diploma or equivalent,None,Apprenticeship
"      Brickmasons, blockmasons, and stonemasons",47-2020,Summary,86.5,86,-0.5,-0.5,24.1,6.8,"$58,290 ",,,
        Brickmasons and blockmasons,47-2021,Line item,73,73.3,0.3,0.5,24,5.9,"$59,000 ",High school diploma or equivalent,None,Apprenticeship
        Stonemasons,47-2022,Line item,13.5,12.7,-0.8,-5.9,24.2,1,"$50,210 ",High school diploma or equivalent,None,Apprenticeship
      Carpenters,47-2031,Line item,956.3,964.9,8.6,0.9,26.7,79.5,"$51,390 ",High school diploma or equivalent,None,Apprenticeship
"      Carpet, floor, and tile installers and finishers",47-2040,Summary,120.9,124.4,3.5,2.9,30,9.8,"$47,890 ",,,
        Carpet installers,47-2041,Line item,25.1,22.3,-2.8,-11.1,30.2,1.5,"$45,240 ",No formal educational credential,None,Short-term on-the-job training
"        Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,30.2,32.3,2.2,7.3,30,2.6,"$48,870 ",No formal educational credential,None,Moderate-term on-the-job training
        Floor sanders and finishers,47-2043,Line item,6.2,6.2,0,0.1,30,0.5,"$46,060 ",No formal educational credential,None,Moderate-term on-the-job training
        Tile and stone setters,47-2044,Line item,59.4,63.5,4.1,6.9,29.9,5.1,"$48,340 ",No formal educational credential,None,Long-term on-the-job training
"      Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,207.7,199.3,-8.5,-4.1,4.2,14.3,"$48,330 ",,,
        Cement masons and concrete finishers,47-2051,Line item,206.2,197.9,-8.3,-4,4.2,14.2,"$48,300 ",No formal educational credential,None,Moderate-term on-the-job training
        Terrazzo workers and finishers,47-2053,Line item,1.6,1.4,-0.2,-12.2,4.1,0.1,"$52,330 ",High school diploma or equivalent,None,Apprenticeship
      Construction laborers,47-2061,Line item,"1,418.60","1,480.50",61.9,4.4,28.3,129.4,"$40,750 ",No formal educational credential,None,Short-term on-the-job training
      Construction equipment operators,47-2070,Summary,483.3,496.6,13.3,2.7,2.1,42.3,"$51,050 ",,,
"        Paving, surfacing, and tamping equipment operators",47-2071,Line item,42.3,43.9,1.6,3.7,2.3,3.8,"$47,270 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Pile driver operators,47-2072,Line item,3.3,3.4,0.1,3.2,2.6,0.3,"$64,310 ",High school diploma or equivalent,None,Moderate-term on-the-job training
        Operating engineers and other construction equipment operators,47-2073,Line item,437.6,449.2,11.6,2.7,2.1,38.2,"$51,430 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"      Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,134.5,135.9,1.4,1.1,21.7,9,"$51,160 ",,,
        Drywall and ceiling tile installers,47-2081,Line item,116.4,118.2,1.9,1.6,21.7,7.9,"$50,440 ",No formal educational credential,None,Moderate-term on-the-job training
        Tapers,47-2082,Line item,18.1,17.7,-0.4,-2.3,21.7,1.1,"$62,360 ",No formal educational credential,None,Moderate-term on-the-job training
      Electricians,47-2111,Line item,762.6,811.8,49.2,6.4,7.9,73.5,"$60,240 ",High school diploma or equivalent,None,Apprenticeship
      Glaziers,47-2121,Line item,54.5,55.7,1.2,2.2,5.5,5.5,"$48,720 ",High school diploma or equivalent,None,Apprenticeship
      Insulation workers,47-2130,Summary,61.6,62.6,1,1.7,3.7,4.8,"$47,980 ",,,
"        Insulation workers, floor, ceiling, and wall",47-2131,Line item,34.4,35,0.6,1.7,3.8,2.7,"$45,380 ",No formal educational credential,None,Short-term on-the-job training
"        Insulation workers, mechanical",47-2132,Line item,27.2,27.6,0.5,1.7,3.6,2.1,"$50,590 ",High school diploma or equivalent,None,Apprenticeship
      Painters and paperhangers,47-2140,Summary,376.3,382,5.7,1.5,41.3,29.6,"$46,090 ",,,
"        Painters, construction and maintenance",47-2141,Line item,372.4,377.9,5.5,1.5,41.3,29.3,"$46,090 ",No formal educational credential,None,Moderate-term on-the-job training
        Paperhangers,47-2142,Line item,3.9,4,0.1,3.7,42.2,0.3,"$44,930 ",No formal educational credential,None,Long-term on-the-job training
"      Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,520.7,529.9,9.2,1.8,9.1,45.2,"$59,320 ",,,
        Pipelayers,47-2151,Line item,38,36.3,-1.7,-4.4,2.4,2.6,"$45,990 ",No formal educational credential,None,Short-term on-the-job training
"        Plumbers, pipefitters, and steamfitters",47-2152,Line item,482.7,493.6,10.9,2.3,9.6,42.6,"$60,090 ",High school diploma or equivalent,None,Apprenticeship
      Plasterers and stucco masons,47-2161,Line item,27.3,27.9,0.6,2.1,5.4,2,"$49,730 ",No formal educational credential,None,Long-term on-the-job training
      Reinforcing iron and rebar workers,47-2171,Line item,22.8,23.1,0.3,1.2,24.3,1.9,"$51,070 ",High school diploma or equivalent,None,Apprenticeship
      Roofers,47-2181,Line item,154.5,157.6,3.1,2,14.1,12.2,"$47,920 ",No formal educational credential,None,Moderate-term on-the-job training
      Sheet metal workers,47-2211,Line item,126.2,126,-0.2,-0.1,2.6,11.4,"$55,350 ",High school diploma or equivalent,None,Apprenticeship
      Structural iron and steel workers,47-2221,Line item,71.6,72.9,1.3,1.8,6.4,6.3,"$60,500 ",High school diploma or equivalent,None,Apprenticeship
      Solar photovoltaic installers,47-2231,Line item,29.4,35.9,6.6,22.3,5.3,3.5,"$45,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"    Helpers, construction trades",47-3000,Summary,206.2,202.2,-4,-2,0.6,22,"$37,180 ",,,
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,17.9,15.9,-2,-10.9,0.6,1.7,"$39,430 ",No formal educational credential,None,Short-term on-the-job training
      Helpers--carpenters,47-3012,Line item,25.1,23.7,-1.3,-5.3,0.6,2.5,"$37,490 ",No formal educational credential,None,Short-term on-the-job training
      Helpers--electricians,47-3013,Line item,72.5,70,-2.5,-3.5,0.6,7.6,"$37,070 ",High school diploma or equivalent,None,Short-term on-the-job training
"      Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,8.7,8.9,0.1,1.5,0.6,1,"$36,080 ",No formal educational credential,None,Short-term on-the-job training
